point_id,member_id,end,D,t,z,zone,propset,environment,category,not_assessable,not_assessable_reason,sn_curve,D_life,D_life_seed_std,D_life_min,D_life_max,life_years,worst_theta_deg,n_bins_used
69,35,2,0.8,0.02,-44.001,submerged,1,seawater_cp,B1,False,,B1,4.700345429224869e-06,3.9609173922146603e-07,2.505232014857456e-06,7.60134063964793e-06,5318758.030965128,180.0,69
70,36,1,0.8,0.02,-44.001,submerged,1,seawater_cp,B1,False,,B1,1.203791989774152e-06,1.3550430783138623e-07,6.539555176520713e-07,2.2312859731776685e-06,20767707.554434173,180.0,69
71,36,2,0.8,0.02,-44.001,submerged,1,seawater_cp,B1,False,,B1,9.291709432145656e-07,9.578731214008546e-08,4.3791448475593825e-07,1.6252468022735002e-06,26905705.761213157,0.0,69
72,37,1,0.8,0.02,-43.127,submerged,1,seawater_cp,B1,False,,B1,6.0215975823561745e-05,5.50578039836587e-06,2.9421172457152154e-05,0.00010180574929269841,415172.2139860734,292.5,69
73,37,2,0.8,0.02,-33.373,submerged,1,seawater_cp,B1,False,,B1,3.9502423640998105e-05,4.3803957428924725e-06,1.8464357704050348e-05,7.247663925313003e-05,632872.5606105197,225.0,69
74,38,1,0.8,0.02,-33.373,submerged,1,seawater_cp,B1,False,,B1,9.00979549163867e-05,7.940514319846347e-06,4.385051247883237e-05,0.0001502942904872418,277475.7764835025,337.5,69
75,38,2,0.8,0.02,-24.614,submerged,1,seawater_cp,B1,False,,B1,0.0001252667565337839,1.1225409565166085e-05,5.782154871312052e-05,0.00020804754831708764,199574.09844213224,180.0,69
76,39,1,0.8,0.02,-43.127,submerged,1,seawater_cp,B1,False,,B1,7.98615429546735e-05,8.73091037567245e-06,4.4279649794681686e-05,0.00014638713054429423,313041.7855085656,67.5,69
77,39,2,0.8,0.02,-33.373,submerged,1,seawater_cp,B1,False,,B1,4.849551633770766e-05,5.7504868629429326e-06,2.5724705922629457e-05,9.124474854942168e-05,515511.5748414305,157.5,69
78,40,1,0.8,0.02,-33.373,submerged,1,seawater_cp,B1,False,,B1,0.00010936530411769946,9.832552019050965e-06,6.0864539202648194e-05,0.00018605496850191555,228591.6927830684,0.0,69
79,40,2,0.8,0.02,-24.614,submerged,1,seawater_cp,B1,False,,B1,0.00016361995958575417,1.599494520509908e-05,9.187318253361244e-05,0.00028755967298913014,152793.0948234794,157.5,69
80,41,1,0.8,0.02,-43.127,submerged,1,seawater_cp,B1,False,,B1,7.71845481442862e-05,7.4602083531972675e-06,4.108615772517317e-05,0.0001311536679907326,323899.0264381135,45.0,69
81,41,2,0.8,0.02,-33.373,submerged,1,seawater_cp,B1,False,,B1,4.997434572663154e-05,5.281228314778713e-06,2.5350235527221593e-05,8.790839138090933e-05,500256.67442960426,157.5,69
82,42,1,0.8,0.02,-33.373,submerged,1,seawater_cp,B1,False,,B1,0.00010256850096688072,9.007485932850467e-06,5.369198791634848e-05,0.0001677467576054233,243739.54736915263,0.0,69
83,42,2,0.8,0.02,-24.614,submerged,1,seawater_cp,B1,False,,B1,0.0001540916289293809,1.4109781101793646e-05,8.021690086974585e-05,0.00025501675991617437,162241.1299932284,157.5,69
84,43,1,0.8,0.02,-43.127,submerged,1,seawater_cp,B1,False,,B1,7.236761959632242e-05,6.8370070877597326e-06,3.597869456902181e-05,0.00012411139152049717,345458.3712916606,292.5,69
85,43,2,0.8,0.02,-33.373,submerged,1,seawater_cp,B1,False,,B1,4.527963940199868e-05,4.624404556192517e-06,2.1795215288923733e-05,7.983819489649687e-05,552124.5383172482,202.5,69
86,44,1,0.8,0.02,-33.373,submerged,1,seawater_cp,B1,False,,B1,0.00010069996245756992,8.834662573623968e-06,5.255112086318297e-05,0.00016656491941191006,248262.2574018713,337.5,69
87,44,2,0.8,0.02,-24.614,submerged,1,seawater_cp,B1,False,,B1,0.00014518877469094226,1.2971729424430325e-05,7.429636431808957e-05,0.0002406000396625588,172189.62039742077,202.5,69
88,45,1,0.8,0.02,-43.127,submerged,1,seawater_cp,B1,False,,B1,0.0003979407031938072,3.6994538827197974e-05,0.0001954510505406964,0.0006730287645716506,62823.430223030904,22.5,69
89,45,2,0.8,0.02,-33.373,submerged,1,seawater_cp,B1,False,,B1,0.0003997109816543445,3.700466456915173e-05,0.00019539058435550432,0.0006681721431028247,62545.19176963491,202.5,69
90,46,1,0.8,0.02,-33.373,submerged,1,seawater_cp,B1,False,,B1,0.0004131391391420603,3.586275794984143e-05,0.00021516126445920986,0.000687711183396856,60512.30113882675,202.5,69
91,46,2,0.8,0.02,-24.614,submerged,1,seawater_cp,B1,False,,B1,0.0002730216586263803,2.519713555841083e-05,0.0001379251626172691,0.0004615894825680088,91567.82698405457,67.5,69
92,47,1,0.8,0.02,-43.127,submerged,1,seawater_cp,B1,False,,B1,0.00042688901595054954,3.793626636010727e-05,0.00022632480898562428,0.0007257249121507724,58563.23087707644,337.5,69
