node,sub_joint_id,plane_id,family,type_label,brace_member,brace_end,chord_t_scenario,direction,treatment,environment,category,D_life,D_life_seed_std,D_life_min,D_life_max,life_years,worst_side,worst_position,worst_segment,n_bins_used
21,"(21, 1)",1,K,K,64,2,single,,K,seawater_cp,T,0.10100277547918936,0.009316617488204587,0.049463818337041235,0.16699101055957144,247.51795068394935,chord,7,,69
21,"(21, 1)",1,K,K,64,2,single,,Y,seawater_cp,T,2.7023503005070335,0.24862136046334798,1.3618573363635766,4.5789918845808275,9.251206253796678,chord,3,,69
21,"(21, 0)",0,K,K,69,1,single,,K,seawater_cp,T,0.015018275923009026,0.0013593690226419983,0.007761640254798443,0.02438124530861084,1664.6384796871585,chord,7,,69
21,"(21, 0)",0,K,K,69,1,single,,Y,seawater_cp,T,0.14976178336078766,0.01702351444921581,0.0750412916420706,0.2668506619938842,166.931772839357,chord,7,,69
21,"(21, 1)",1,K,K,77,1,single,,K,seawater_cp,T,0.04653088803257704,0.00397381628567147,0.024014407952243532,0.07808284511548617,537.2775173019928,chord,7,,69
21,"(21, 1)",1,K,K,77,1,single,,Y,seawater_cp,T,0.990539236048277,0.0921587664594895,0.5020960121879519,1.7259161160480074,25.238778122244465,chord,7,,69
22,"(22, 0)",0,K,K,72,2,single,,K,free_corrosion,T,1.2520105471022953,0.05624700575034837,0.892537087463013,1.7675828048678832,19.967882904709573,chord,3,,69
22,"(22, 0)",0,K,K,72,2,single,,Y,free_corrosion,T,3.443813996479212,0.1730651599961893,2.4831151400905256,4.969305501157877,7.259393226683783,chord,3,,69
22,"(22, 1)",1,K,K,80,2,single,,K,free_corrosion,T,1.7290681074107577,0.08397009932195465,1.1708631278460544,2.4090288182671995,14.458655441535477,chord,3,,69
22,"(22, 1)",1,K,K,80,2,single,,Y,free_corrosion,T,9.284133223034138,0.44609712104625465,6.365696328804153,13.03380878364889,2.692766184997696,chord,3,,69
22,"(22, 0)",0,K,K,85,1,single,,K,free_corrosion,T,1.2077592859024135,0.05148616573972535,0.8180127340751417,1.6245107824343168,20.699488955964018,chord,7,,69
22,"(22, 0)",0,K,K,85,1,single,,Y,free_corrosion,T,3.5071866701201313,0.15983696757798996,2.4194945765724927,4.764611781065615,7.128220523016437,chord,7,,69
22,"(22, 1)",1,K,K,93,1,single,,K,free_corrosion,T,1.7459740627422715,0.08035934890694038,1.163633891573334,2.397568205745247,14.318654860619384,chord,7,,69
22,"(22, 1)",1,K,K,93,1,single,,Y,free_corrosion,T,8.068503894918226,0.3782309114278123,5.466686406017964,11.190618583296953,3.098467860410368,chord,7,,69
23,"(23, 0)",0,TY,Y,88,2,single,,TY,air,T,0.07780075417669799,0.009666548375356559,0.03797949092541253,0.1471107303792798,321.33364598524315,chord,7,,69
23,"(23, 1)",1,TY,Y,96,2,single,,TY,air,T,0.5034803739875042,0.046779298188348584,0.2559601943284924,0.8758297029286396,49.65436845532428,chord,7,,69
25,"(25, 1)",1,K,K,60,2,single,,K,seawater_cp,T,0.04822710454772195,0.004407317712979321,0.02537374305733019,0.08224596828217873,518.3806955539258,chord,3,,69
25,"(25, 1)",1,K,K,60,2,single,,Y,seawater_cp,T,0.38581389274435957,0.04097108903013919,0.18601830096373553,0.6893355805410798,64.7980813292408,chord,3,,69
25,"(25, 0)",0,K,K,62,2,single,,K,seawater_cp,T,0.11048478887580525,0.009793279186920575,0.057358677825041456,0.1869528040394805,226.2754923494693,chord,7,,69
25,"(25, 0)",0,K,K,62,2,single,,Y,seawater_cp,T,2.805428252162522,0.24929466810509945,1.4609878118588553,4.7652558156605735,8.911295443299656,chord,7,,69
25,"(25, 1)",1,K,K,73,1,single,,K,seawater_cp,T,0.01685275227267519,0.0015928312631976755,0.00883248500795559,0.027630374701216612,1483.4372211436728,chord,7,,69
25,"(25, 1)",1,K,K,73,1,single,,Y,seawater_cp,T,0.170767616708742,0.019111411457160082,0.08161235272773362,0.30055923918695954,146.39778010510932,chord,7,,69
25,"(25, 0)",0,K,K,79,1,single,,K,seawater_cp,T,0.05137222721778135,0.004764746182615543,0.026288368345433428,0.08907666508238506,486.6442697533427,chord,7,,69
25,"(25, 0)",0,K,K,79,1,single,,Y,seawater_cp,T,1.0348636460492107,0.09826461542620799,0.5325716520094954,1.821153206236064,24.15777198807038,chord,7,,69
26,"(26, 1)",1,K,K,76,2,single,,K,free_corrosion,T,1.269519214277625,0.05414521418435996,0.8808942932234339,1.7543507912718643,19.69249438593599,chord,3,,69
26,"(26, 1)",1,K,K,76,2,single,,Y,free_corrosion,T,3.465961411993532,0.16224373394889988,2.38273410643117,4.85611209575555,7.213005867142832,chord,3,,69
26,"(26, 0)",0,K,K,78,2,single,,K,free_corrosion,T,1.6219129308611329,0.07767954643296629,1.0644418537367266,2.230734247145687,15.413897703328987,chord,3,,69
26,"(26, 0)",0,K,K,78,2,single,,Y,free_corrosion,T,8.917426638110797,0.43162311938601156,5.986151854165296,12.468438060185123,2.8034993742652623,chord,3,,69
