member_id,zone,D_0,life_years_0,D_5,life_years_5,D_10,life_years_10,D_15,life_years_15,D_20,life_years_20,D_25,life_years_25,n_checkpoints_failed,n_checkpoints_tested
59,submerged,9.1e-05,275718.250522,9.1e-05,275718.250522,9.1e-05,275718.250522,9.1e-05,275718.250522,9.1e-05,275718.250522,9.1e-05,275718.250522,0,6
60,submerged,4.2e-05,600298.444349,4.2e-05,600298.444349,4.2e-05,600298.444349,4.2e-05,600298.444349,4.2e-05,600298.444349,4.2e-05,600298.444349,0,6
61,submerged,0.000342,72996.442362,0.000342,72996.442362,0.000342,72996.442362,0.000342,72996.442362,0.000342,72996.442362,0.000342,72996.442362,0,6
62,submerged,0.000282,88548.191686,0.000282,88548.191686,0.000282,88548.191686,0.000282,88548.191686,0.000282,88548.191686,0.000282,88548.191686,0,6
63,submerged,0.000382,65457.423761,0.000382,65457.423761,0.000382,65457.423761,0.000382,65457.423761,0.000382,65457.423761,0.000382,65457.423761,0,6
64,submerged,0.000261,95665.18004,0.000261,95665.18004,0.000261,95665.18004,0.000261,95665.18004,0.000261,95665.18004,0.000261,95665.18004,0,6
65,submerged,0.000331,75463.352209,0.000331,75463.352209,0.000331,75463.352209,0.000331,75463.352209,0.000331,75463.352209,0.000331,75463.352209,0,6
66,submerged,0.000219,114261.931992,0.000219,114261.931992,0.000219,114261.931992,0.000219,114261.931992,0.000219,114261.931992,0.000219,114261.931992,0,6
67,submerged,0.000294,85086.541146,0.000294,85086.541146,0.000294,85086.541146,0.000294,85086.541146,0.000294,85086.541146,0.000294,85086.541146,0,6
68,submerged,0.000242,103375.505187,0.000242,103375.505187,0.000242,103375.505187,0.000242,103375.505187,0.000242,103375.505187,0.000242,103375.505187,0,6
69,splash,0.015132,1652.159538,0.003404,1468.781376,0.007251,1379.145401,0.011619,1290.980856,0.016606,1204.372056,0.022333,1119.40982,0,6
70,splash,0.017735,1409.609113,0.00399,1253.12419,0.008499,1176.63569,0.013619,1101.404113,0.019465,1027.501386,0.026178,955.004985,0,6
71,splash,0.017406,1436.32007,0.003916,1276.894135,0.008341,1198.966411,0.013365,1122.318128,0.019102,1047.022583,0.02569,973.158729,0,6
72,splash,0.018234,1371.039331,0.004102,1218.844313,0.008738,1144.452116,0.014002,1071.282011,0.020012,999.403963,0.026914,928.893329,0,6
73,splash,0.016701,1496.908196,0.003757,1330.760728,0.008003,1249.547261,0.012824,1169.667018,0.018329,1091.196387,0.02465,1014.217655,0,6
74,splash,0.018951,1319.220317,0.004263,1172.773635,0.009081,1101.191471,0.014552,1030.785422,0.020798,961.622805,0.027971,893.776129,0,6
75,splash,0.016757,1491.914431,0.00377,1326.321841,0.00803,1245.37956,0.012867,1165.766022,0.01839,1087.557361,0.024732,1010.835591,0,6
76,splash,0.017995,1389.267902,0.004048,1235.047643,0.008623,1159.665638,0.013818,1085.522069,0.019749,1012.687826,0.026561,941.239271,0,6
77,splash,0.042668,585.917742,0.009599,520.913499,0.020444,489.13719,0.03276,457.881177,0.046819,427.175367,0.062964,397.05198,0,6
78,splash,0.041404,603.802806,0.009314,536.807497,0.019839,504.058359,0.03179,471.845765,0.045434,440.200532,0.061101,409.155862,0,6
79,splash,0.044335,563.892449,0.009973,501.330338,0.021243,470.747928,0.034039,440.666333,0.048648,411.114335,0.065424,382.122944,0,6
80,splash,0.039053,640.1579,0.008785,569.13272,0.018712,534.413399,0.029984,500.262714,0.042853,466.713343,0.05763,433.800486,0,6
81,splash,0.038247,653.652764,0.008604,581.129671,0.018326,545.678168,0.029365,510.807327,0.041968,476.55051,0.056441,442.943661,0,6
82,splash,0.035001,714.274707,0.007874,635.022025,0.016771,596.281141,0.026873,558.17496,0.038407,520.73994,0.051651,484.015356,0,6
83,splash,0.036518,684.602602,0.008215,608.647722,0.017497,571.518512,0.028038,534.997342,0.040071,499.119159,0.053888,463.921607,0,6
84,splash,0.03622,690.223732,0.008148,613.636636,0.017355,576.198967,0.02781,539.374791,0.039746,503.199337,0.053452,467.710557,0,6
85,splash,0.022108,1130.829098,0.004974,1005.303102,0.010594,943.946319,0.016976,883.597302,0.024263,824.313755,0.03263,766.157837,0,6
86,atmospheric,1.4e-05,1826512.813379,1.4e-05,1826512.813379,1.4e-05,1826512.813379,1.4e-05,1826512.813379,1.4e-05,1826512.813379,1.4e-05,1826512.813379,0,6
87,splash,0.021059,1187.155335,0.004738,1055.371175,0.010091,990.955817,0.016171,927.598729,0.023112,865.36049,0.031083,804.30635,0,6
88,atmospheric,1.2e-05,2032327.981005,1.2e-05,2032327.981005,1.2e-05,2032327.981005,1.2e-05,2032327.981005,1.2e-05,2032327.981005,1.2e-05,2032327.981005,0,6
89,splash,0.023275,1074.09161,0.005236,954.860496,0.011153,896.580856,0.017873,839.258589,0.025544,782.948504,0.034354,727.709639,0,6
90,atmospheric,1.4e-05,1760697.250342,1.4e-05,1760697.250342,1.4e-05,1760697.250342,1.4e-05,1760697.250342,1.4e-05,1760697.250342,1.4e-05,1760697.250342,0,6
91,splash,0.020003,1249.82148,0.0045,1111.088726,0.009585,1043.276389,0.01536,976.577762,0.021953,911.056624,0.029524,846.781675,0,6
92,atmospheric,1.3e-05,1983371.313983,1.3e-05,1983371.313983,1.3e-05,1983371.313983,1.3e-05,1983371.313983,1.3e-05,1983371.313983,1.3e-05,1983371.313983,0,6
93,splash,0.038069,656.709052,0.008564,583.845597,0.018241,548.227804,0.029229,513.193454,0.041773,478.776067,0.056178,445.011755,0,6
94,atmospheric,5.4e-05,467063.508464,5.4e-05,467063.508464,5.4e-05,467063.508464,5.4e-05,467063.508464,5.4e-05,467063.508464,5.4e-05,467063.508464,0,6
95,splash,0.040379,619.139152,0.009084,550.441788,0.019348,516.860667,0.031003,483.829738,0.044309,451.380604,0.059588,419.547308,0,6
96,atmospheric,5.5e-05,456380.958474,5.5e-05,456380.958474,5.5e-05,456380.958474,5.5e-05,456380.958474,5.5e-05,456380.958474,5.5e-05,456380.958474,0,6
97,splash,0.035385,706.511539,0.00796,628.112865,0.016955,589.789953,0.027169,552.09524,0.03883,515.064787,0.052221,478.737438,0,6
98,atmospheric,4.7e-05,530959.588281,4.7e-05,530959.588281,4.7e-05,530959.588281,4.7e-05,530959.588281,4.7e-05,530959.588281,4.7e-05,530959.588281,0,6
99,splash,0.033694,741.976393,0.00758,659.647654,0.016145,619.403275,0.02587,579.818345,0.036973,540.930733,0.049723,502.781238,0,6
100,atmospheric,4.6e-05,546921.325934,4.6e-05,546921.325934,4.6e-05,546921.325934,4.6e-05,546921.325934,4.6e-05,546921.325934,4.6e-05,546921.325934,0,6
101,atmospheric,0.0,inf,0.0,inf,0.0,inf,0.0,inf,0.0,inf,0.0,inf,0,6
102,atmospheric,0.0,inf,0.0,inf,0.0,inf,0.0,inf,0.0,inf,0.0,inf,0,6
103,atmospheric,0.0,inf,0.0,inf,0.0,inf,0.0,inf,0.0,inf,0.0,inf,0,6
104,atmospheric,0.0,inf,0.0,inf,0.0,inf,0.0,inf,0.0,inf,0.0,inf,0,6
105,submerged,0.0,70065577.205332,0.0,70065577.205332,0.0,70065577.205332,0.0,70065577.205332,0.0,70065577.205332,0.0,70065577.205332,0,6
106,submerged,0.0,69529018.641309,0.0,69529018.641309,0.0,69529018.641309,0.0,69529018.641309,0.0,69529018.641309,0.0,69529018.641309,0,6
107,submerged,0.0,62158429.931629,0.0,62158429.931629,0.0,62158429.931629,0.0,62158429.931629,0.0,62158429.931629,0.0,62158429.931629,0,6
108,submerged,0.0,79536217.532434,0.0,79536217.532434,0.0,79536217.532434,0.0,79536217.532434,0.0,79536217.532434,0.0,79536217.532434,0,6
109,submerged,0.001383,18076.493067,0.001383,18076.493067,0.001383,18076.493067,0.001383,18076.493067,0.001383,18076.493067,0.001383,18076.493067,0,6
110,submerged,0.001447,17271.696713,0.001447,17271.696713,0.001447,17271.696713,0.001447,17271.696713,0.001447,17271.696713,0.001447,17271.696713,0,6
111,submerged,0.001592,15700.640415,0.001592,15700.640415,0.001592,15700.640415,0.001592,15700.640415,0.001592,15700.640415,0.001592,15700.640415,0,6
112,submerged,0.001237,20205.498689,0.001237,20205.498689,0.001237,20205.498689,0.001237,20205.498689,0.001237,20205.498689,0.001237,20205.498689,0,6
