node,family,D_S1-K,life_years_S1-K,D_S1-Y,life_years_S1-Y,D_S2-K,life_years_S2-K,D_S2-Y,life_years_S2-Y,D_S3-K_5,life_years_S3-K_5,D_S3-K_10,life_years_S3-K_10,D_S3-K_15,life_years_S3-K_15,D_S3-K_20,life_years_S3-K_20,D_S3-K_25,life_years_S3-K_25,D_S3-Y_5,life_years_S3-Y_5,D_S3-Y_10,life_years_S3-Y_10,D_S3-Y_15,life_years_S3-Y_15,D_S3-Y_20,life_years_S3-Y_20,D_S3-Y_25,life_years_S3-Y_25,D_S4-K,life_years_S4-K,D_S4-Y,life_years_S4-Y,D_S5-K_5,life_years_S5-K_5,D_S5-K_10,life_years_S5-K_10,D_S5-K_15,life_years_S5-K_15,D_S5-K_20,life_years_S5-K_20,D_S5-K_25,life_years_S5-K_25,D_S5-Y_5,life_years_S5-Y_5,D_S5-Y_10,life_years_S5-Y_10,D_S5-Y_15,life_years_S5-Y_15,D_S5-Y_20,life_years_S5-Y_20,D_S5-Y_25,life_years_S5-Y_25
19,TY,0.8201101522693004,30.483709939235972,0.8201101522693004,30.483709939235972,0.39608343923278627,63.11801384179305,0.39608343923278627,63.11801384179305,,,,,,,,,,,,,,,,,,,,,0.15983362884802205,156.41264094536245,0.15983362884802205,156.41264094536245,,,,,,,,,,,,,,,,,,,,
20,K,0.3213211019234792,77.8037914420996,3.672507283328105,6.807338439733321,0.11675205813336618,214.12898752878885,1.9252491826245872,12.985332093957242,,,,,,,,,,,,,,,,,,,,,0.038202392024646106,654.4092836875597,0.8588651036799155,29.108179960839433,,,,,,,,,,,,,,,,,,,,
21,K,0.9956986307437706,25.10799877401198,23.296152315426102,1.07313858793092,0.35036019073303787,71.35513868654421,8.939521787611984,2.796570173881556,,,,,,,,,,,,,,,,,,,,,0.10122684093809606,246.9700700754696,2.70235030050703,9.25120625379669,,,,,,,,,,,,,,,,,,,,
22,K,7.503000861816857,3.332000150396655,38.067621454559095,0.6567260849181824,3.9425925378824678,6.341005254737098,19.991820677988084,1.2505114167778701,1.0208678026173226,4.897793805604304,2.224349687819299,4.495696002638762,3.65309816511279,4.10610372950021,5.362271401669336,3.729762725880263,7.424021488968259,3.367447149385115,5.232642894873961,0.9555400780164333,11.475474540526754,0.8714236578787246,18.985595073370416,0.7900726810000971,28.102432952727717,0.711682153415074,39.279963014445016,0.6364568110923723,1.8347838450773133,13.625583235362834,9.31241476553153,2.6845883296063713,0.5230524278477555,9.559271181617278,1.1234565206244276,8.901101036328408,1.8160442965398942,8.259710420378772,2.6191922731414983,7.635941891357102,3.555848463139985,7.030670811523784,2.674515569087416,1.8694974363922188,5.769956939516819,1.7331151869631471,9.373421054411532,1.6002695187730163,13.594567954786573,1.4711758451255605,18.572716992724594,1.3460604611480989
23,TY,5.366309986933332,4.658694719625519,5.366309986933332,4.658694719625519,1.9155905940336424,13.050805364082374,1.9155905940336424,13.050805364082374,,,,,,,,,,,,,,,,,,,,,0.5034810350278396,49.65430326212316,0.5034810350278396,49.65430326212316,,,,,,,,,,,,,,,,,,,,
25,K,1.0966398174197427,22.796910711141145,24.39404013385326,1.0248404882021085,0.3847156056705559,64.98306705397412,9.329426130954218,2.679693225401313,,,,,,,,,,,,,,,,,,,,,0.11068502101967402,225.86615397178545,2.80542825216252,8.911295443299663,,,,,,,,,,,,,,,,,,,,
26,K,8.03099329038131,3.112939968452271,36.55057825267114,0.6839837068288512,4.210973563010581,5.93686937852124,19.211298947710237,1.301317525069262,1.091398843175757,4.581276616943241,2.3792676229588654,4.202974017510466,3.9096798162212054,3.836631311281608,5.742256013078686,3.4829516403391922,7.955029429587158,3.1426659349640422,5.027063299775041,0.9946164792123758,11.023066947840281,0.907188539026271,18.234347064300913,0.8226233682568708,26.986057629191748,0.7411234451069025,37.71300425707161,0.662901311960906,1.954149767431415,12.793287606026556,8.958068279825001,2.790780246261796,0.5575745006282488,8.967411519655641,1.1981804871423583,8.3459880271042,1.937813140158795,7.740684428825174,2.7963020899050153,7.152303062034102,3.79842675023177,6.581672266939086,2.572140806578071,1.9439060207018404,5.548384945741759,1.8023262801321562,9.012257253270104,1.6643998921088543,13.068894671792648,1.5303513037844858,17.851845916989554,1.400415403328547
27,TY,5.328175735635326,4.69203743277417,5.328175735635326,4.69203743277417,1.9007918047460313,13.152413608675202,1.9007918047460313,13.152413608675202,,,,,,,,,,,,,,,,,,,,,0.5002829276404398,49.97172323651196,0.5002829276404398,49.97172323651196,,,,,,,,,,,,,,,,,,,,
29,K,0.8214236709373474,30.43496417807374,18.85084202910226,1.3262007055920666,0.288399423548893,86.68533276649111,7.1845284319749965,3.4796995010468077,,,,,,,,,,,,,,,,,,,,,0.08311473133914402,300.78903699982135,2.1670064996487537,11.536652060827786,,,,,,,,,,,,,,,,,,,,
30,K,6.767590061471343,3.694077178570232,31.751928420033977,0.787353752795253,3.5471035810259113,7.048003935867408,16.676176557372425,1.4991445979232974,0.9194945720710679,5.437770000901701,2.0047160612313073,4.988237583060988,3.2947785103057505,4.552658077950139,4.844061728944272,4.1287665432700535,6.726019124089863,3.7169088488702293,4.364702759895011,1.1455533801619677,9.57192108236452,1.0447223617863064,15.836083833285912,0.9472038767862201,23.44028387222745,0.8532319876764133,32.76315843427763,0.7630521962694653,1.645374955077436,15.194105102215701,7.768951294014696,3.217937538012413,0.46953135271848073,10.648916139574336,1.009056406218033,9.91024876149415,1.6320753459300739,9.190752153327775,2.3553291489196915,8.491382195636357,3.199742082433886,7.813129732313841,2.2311549729517126,2.240991800486739,4.813377320043677,2.077543341212498,7.819305757999484,1.9183288726949141,11.340398040064775,1.7636065268028072,15.492847041011,1.6136478940134558
