member_id,member_class,year,D_fatigue,t_mm,past_static_cutoff
26,leg,5.0,0.013048893096504,32.0,False
26,leg,6.0,0.016198037398336484,31.400000000000006,False
26,leg,7.0,0.019446622447548353,30.8,False
26,leg,8.0,0.022782837505025185,30.200000000000003,False
26,leg,9.0,0.026197607610053214,29.600000000000005,False
26,leg,10.0,0.029683719846121615,29.000000000000004,False
26,leg,11.0,0.03323528990277618,28.400000000000002,False
26,leg,12.0,0.03684741691370277,27.800000000000004,False
26,leg,13.0,0.040515949701603125,27.200000000000003,False
26,leg,14.0,0.044237322538949964,26.6,False
26,leg,15.0,0.04800843619581384,26.000000000000004,False
26,leg,16.0,0.05182656956397823,25.400000000000006,False
26,leg,17.0,0.05568931255682898,24.800000000000004,False
26,leg,18.0,0.05959451420011907,24.200000000000006,False
26,leg,19.0,0.06354024181375671,23.6,False
26,leg,20.0,0.06752474845081693,23.000000000000004,False
26,leg,21.0,0.07154644659073285,22.400000000000002,False
26,leg,22.0,0.07560388664253476,21.800000000000004,False
26,leg,23.0,0.07969573919844417,21.200000000000003,False
26,leg,24.0,0.0838207802478383,20.60000000000001,False
26,leg,25.0,0.08797787875420608,20.000000000000004,False
26,leg,26.0,0.09216598613748733,19.400000000000006,False
26,leg,27.0,0.09638412730710207,18.800000000000004,False
26,leg,28.0,0.10063139296776977,18.2,False
26,leg,29.0,0.104906932978221,17.600000000000005,False
26,leg,30.0,0.10920995058720655,17.000000000000004,False
26,leg,31.0,0.11353969740539964,16.400000000000006,False
26,leg,32.0,0.11789546899842605,15.800000000000004,False
26,leg,33.0,0.12227660100719848,15.200000000000001,False
26,leg,34.0,0.12668246571832947,14.600000000000005,False
26,leg,35.0,0.13111246902065588,14.000000000000002,False
26,leg,36.0,0.1355660476945734,13.400000000000006,False
26,leg,37.0,0.14004266698952086,12.800000000000002,False
26,leg,38.0,0.14454181845199535,12.200000000000003,False
26,leg,39.0,0.1490630179722555,11.600000000000007,False
26,leg,40.0,0.15360580402263316,11.000000000000004,False
26,leg,41.0,0.15816973606432158,10.400000000000006,False
26,leg,42.0,0.16275439310279938,9.800000000000002,False
26,leg,43.0,0.16735937237480442,9.200000000000003,False
26,leg,44.0,0.17198428815208813,8.600000000000003,False
26,leg,45.0,0.17662877064913823,8.000000000000004,True
26,leg,46.0,0.1812924650237182,7.400000000000004,True
26,leg,47.0,0.18597503046048405,6.800000000000004,True
26,leg,48.0,0.19067613932914815,6.200000000000007,True
26,leg,49.0,0.19539547640969457,5.600000000000004,True
26,leg,50.0,0.200132738178043,5.000000000000004,True
26,leg,51.0,0.2048876321463271,4.400000000000005,True
26,leg,52.0,0.20965987625262048,3.8000000000000047,True
26,leg,53.0,0.21444919829552234,3.200000000000008,True
26,leg,54.0,0.21925533540951875,2.600000000000005,True
