member_id,max_tensile_N,max_compressive_N,mean_tensile_unweighted_N,mean_compressive_unweighted_N,mean_tensile_weighted_N,mean_compressive_weighted_N
23,2076762.7348040896,-3556827.012225724,392891.957251225,-1322308.625317543,207024.361073826,-1181726.460945285
24,2082555.618900512,-3750272.478585212,360413.0731366557,-1399965.1645849044,182601.2798721724,-1263369.7776361294
25,1722618.8195562563,-4512289.844260109,306323.01359017217,-1914473.6709435144,175567.52110168402,-1804776.9622751328
26,1334164.1582234062,-4139436.5494909766,246687.1864173711,-1858982.8908352444,140415.0942934719,-1759726.5859580094
27,1273301.574358496,-3525469.1034109904,227194.74161404063,-1536987.7228322087,135605.45384742235,-1434583.313977233
28,1237796.6740620425,-3718743.582214875,191645.68219613723,-1648260.6318990823,114236.40486657646,-1549639.9198199047
29,0.0,-9280983.19400246,0.0,-5638304.160374445,0.0,-5698479.63192789
30,0.0,-8868633.286015613,0.0,-5419853.035427886,0.0,-5477237.899140362
31,0.0,-7832940.113870508,0.0,-4700016.565969729,0.0,-4751466.443057371
32,0.0,-8241563.839995035,0.0,-4949893.240736668,0.0,-5003417.145954413
33,24727.699168576448,-110731.00579435668,4386.5837965344745,-42952.960834998965,308.5994810900687,-42422.29537841855
34,30910.9219020368,-250148.6730605196,4281.592536904058,-94345.4532476507,998.5397521136936,-97103.9056981101
35,37685.32031044983,-100277.2986508544,5471.61662989952,-31638.08145277509,971.7264480800286,-32055.235801533152
36,212413.1756805138,-69860.7419457021,65009.85291356216,-11997.137382640389,60814.78404041588,-4168.284332754345
37,118074.82701579784,-890310.6258195762,64746.72838487631,-455870.32987221057,7479.194727705088,-460300.282073375
38,99470.9572797071,-833576.1775012477,41443.78699119184,-411474.95966842846,5045.614085160859,-415603.30805211904
39,109975.0690069606,-979724.0869550678,65907.25451086904,-448375.1510583638,5885.126659111111,-450328.13628598215
40,86075.37242881786,-919419.29477517,43192.85846211399,-402248.6106428815,4297.543869640259,-404060.4642244248
41,291323.5718416961,-806203.8177967863,76175.59620875669,-300333.75256545766,39342.13710186367,-295858.4031859754
42,259246.09312333656,-759629.5071194132,49384.5612534589,-266572.2731357533,24475.719330452343,-262206.6129933962
