rank,bin,Vw_m_s,Hs_m,Tp_s,probability,D_raw,D_weighted,D_weighted_pct,D_raw_pct
37,LC_V16_H1p0_T5,16.0,1.0,5.0,0.00328,0.000844931423129907,3.644081076737125,0.6008786276898818,2.0784721764953638
38,LC_V12_H2p5_T8,12.0,2.5,8.0,0.00488,0.0005598989746113733,3.5927104691764917,0.592408042232363,1.3773122983959623
39,LC_V12_H2p5_T7,12.0,2.5,7.0,0.0042,0.0005699831408696604,3.1477774941039653,0.5190422993068683,1.4021186417479015
40,LC_V8_H1p0_T6,8.0,1.0,6.0,0.043,4.353478083089859e-05,2.461486982525584,0.40587870823686834,0.10709251448082831
41,LC_V6_H1p0_T6,6.0,1.0,6.0,0.05033,3.088531882835282e-05,2.0439569512600957,0.3370314825788817,0.07597572310557793
42,LC_V10_H2p0_T8,10.0,2.0,8.0,0.004,0.00037222172140041136,1.9577373658776003,0.3228145908430336,0.9156393882856171
43,LC_V8_H0p5_T5,8.0,0.5,5.0,0.03167,4.181951316770824e-05,1.7414850939598303,0.2871563917940934,0.10287307605590038
44,LC_V8_H1p5_T6,8.0,1.5,6.0,0.02689,4.718265831633467e-05,1.668268437827789,0.2750835748248137,0.11606603783335846
45,LC_V6_H0p5_T5,6.0,0.5,5.0,0.03917,2.9526544857027173e-05,1.5207538566192191,0.2507596486403231,0.07263323421685276
46,LC_V10_H0p5_T6,10.0,0.5,6.0,0.00283,0.0003596738478123762,1.3384064532424333,0.2206920801102718,0.8847724973013741
47,LC_V8_H1p0_T5,8.0,1.0,5.0,0.01896,4.414757310986688e-05,1.1006212480058255,0.18148327964761493,0.10859994060671278
48,LC_V26_H3p5_T8,26.0,3.5,8.0,0.00895,6.355201967923871e-05,0.7479027285522644,0.12332293264462436,0.15633352133368894
49,LC_V6_H1p5_T7,6.0,1.5,7.0,0.01621,3.3002271359895566e-05,0.7034278699663609,0.11598939877667662,0.08118327819859822
50,LC_V4_H1p0_T7,4.0,1.0,7.0,0.02984,1.7754008369576577e-05,0.6966072088578602,0.11486472855103957,0.043673618245533306
51,LC_V6_H0p5_T6,6.0,0.5,6.0,0.01726,2.9351093824547545e-05,0.6661281814384297,0.10983899070837115,0.07220163695420695
52,LC_V4_H0p5_T5,4.0,0.5,5.0,0.02376,1.7191227477954877e-05,0.5370887414557238,0.08856146148168745,0.04228921663295521
53,LC_V6_H1p0_T5,6.0,1.0,5.0,0.01019,3.1563744317677794e-05,0.4229172758397727,0.0697355374322473,0.0776446023362305
54,LC_V4_H0p5_T6,4.0,0.5,6.0,0.01869,1.7037849636267283e-05,0.41871335001694154,0.06904234506738513,0.04191191787507771
55,LC_V8_H0p5_T6,8.0,0.5,6.0,0.00764,4.166881079000659e-05,0.41859803951143393,0.06902333132514159,0.10250235875221167
56,LC_V8_H2p0_T7,8.0,2.0,7.0,0.00488,5.156221025240633e-05,0.33085985327313594,0.05455603495256123,0.12683942913524857
57,LC_V2_H0p5_T6,2.0,0.5,6.0,0.02732,8.957848965997614e-06,0.3217934175392603,0.05306105519028666,0.02203568162739666
58,LC_V8_H2p0_T8,8.0,2.0,8.0,0.00306,5.0161285705320536e-05,0.2018286481962109,0.03327986359327416,0.1233932527796563
59,LC_V6_H1p5_T8,6.0,1.5,8.0,0.00456,3.21756299518035e-05,0.19292327535573486,0.03181144176105651,0.07914979817924504
60,LC_V8_H1p5_T8,8.0,1.5,8.0,0.00314,4.5514223069328944e-05,0.18791848700951985,0.030986193834343343,0.11196180387512822
61,LC_V2_H1p0_T7,2.0,1.0,7.0,0.01531,9.314734817393002e-06,0.18751603506238013,0.030919832859212414,0.022913595848603373
62,LC_V2_H0p5_T5,2.0,0.5,5.0,0.01556,9.018293107759005e-06,0.1845128701310228,0.030424635967408863,0.022184369986527407
63,LC_V4_H1p5_T7,4.0,1.5,7.0,0.00598,1.9442998269871207e-05,0.15288227858181935,0.02520901478805726,0.04782841521253442
64,LC_V6_H1p0_T8,6.0,1.0,8.0,0.0028,3.0038448411358242e-05,0.1105931562850643,0.018235890635002965,0.07389248113985733
65,LC_V4_H1p5_T8,4.0,1.5,8.0,0.00414,1.8854869530357564e-05,0.10263998929423249,0.016924479619000416,0.04638165966786763
66,LC_V4_H1p0_T5,4.0,1.0,5.0,0.00341,1.874956697773768e-05,0.08406947716088159,0.013862356792639618,0.0461226227570097
67,LC_V4_H1p0_T8,4.0,1.0,8.0,0.0033,1.7506360891446072e-05,0.07596307598933427,0.012525678736117228,0.04306442277856065
68,LC_V2_H1p5_T8,2.0,1.5,8.0,0.00319,9.915437757324556e-06,0.041590611051666865,0.006857945464782533,0.024391283046413675
69,LC_V2_H1p0_T8,2.0,1.0,8.0,0.00312,9.19079877135163e-06,0.037705141669883355,0.006217263915472002,0.022608721847814515
